node,betweenness_centrality,in_degree,freq_in_long,in_degree_centrality,max_out_amount,clustering_coefficient,degree_centrality,out_degree,max_in_amount,avg_out_amount,is_phisher
0xf55714607a97ead41ce5218749679f977b0b5fc7,0.0,1,0.005556,0.25,0.0,0.0,0.25,0,0.014941,0.0,0
0x338f81271564682fca0bf32f2081f7c4c11720ce,2.058e-05,15,0.027778,0.00017816,1.0,0.04354354,0.00050708,36,1.195,0.099642,1
0x9b0ee144e036f29632a8564fc5170a688fe1d16a,0.0,0,0.0,0.0,0.0,0.0,0.00011344,2,0.0,0.0,0
0x1701ec21540843776fbb318bff3b4e600a31f7a3,0.0,1,0.005556,0.00011646,0.0,0.0,0.00011646,0,0.18,0.0,0
0x9b521529d04329c2b0a9f9b7db18ed775c6ca8fc,0.03384615,1,0.005556,0.03846154,13.0,0.33333333,0.11538462,2,20.74329,10.371519,1
0x120aba5b96b3813e4221d9f81f76eb4f01e3d070,0.0,0,0.0,0.0,0.08,0.0,0.00028225,2,0.0,0.08,0
0x41466413f0c7f11c5b1af39cc1344af9d21a6d57,2.129e-05,18,0.1,0.00047563,18.884275,0.01666667,0.00065857,6,18.884275,9.143447,1
0xef833d85a7c8e3dc793d74c2d336ea74bae7ff5b,0.0,10,0.055556,0.00040771,0.999748,0.08333333,0.0005242,11,1.0,0.630405,1
0x80787c32d9cbd52f353b48418f47d9c7dd32b6e4,0.0,0,0.0,0.0,0.0,0.0,0.00026645,2,0.0,0.0,0
0x4cd9cdb3ba4cbf49aa92f9a4520ede9be5612416,7.37e-05,1,0.005556,0.00023015,0.006002,0.33333333,0.00069045,2,0.01,0.003001,1
0xff9551a6fc7c1c8ca64bb6966f4120b206897b83,3.321e-05,3,0.016667,0.00041118,0.001142,0.13333333,0.00143914,7,0.002,0.000261,1
0x3bed354fada36ad8aad7398e4dbd368c79077cd8,0.01669715,1,0.005556,0.00483092,36.99892,0.0,0.00966184,2,37.0,18.499826,1
0x7518ca34fb151bfe7549404c44b61aa3deeed353,0.0,0,0.0,0.0,0.0,0.0,0.00012039,1,0.0,0.0,0
0x4913d5ad1255367b713d0f86365d8e4c7c79362a,0.0,0,0.0,0.0,0.0,0.0,0.00011925,1,0.0,0.0,0
0x4073608fbb93bcd10981f857c2b09b491f7399b7,0.0,0,0.0,0.0,0.0,0.0,0.00024558,1,0.0,0.0,0
0x21cc4144c124742762f82120456fbf0b35249791,0.0,26,0.144444,0.00162195,9.676586,0.00333333,0.00168953,1,0.99,9.676586,1
0x8518da0e9772a34949740c20a137aac6acc7b3f4,0.01244866,1,0.005556,0.00014045,0.019536,0.0,0.0002809,3,0.025036,0.006584,1
0xafc0ffecdef64d27a3758bdee41c8d0bfcdc8778,0.0,0,0.0,0.0,0.0,0.0,0.00013968,1,0.0,0.0,0
0x71ccb1b06eb679b1b1797d4e7d38f2b2cc33e80e,0.04620253,1,0.005556,0.0125,32.66,0.0,0.0625,4,122.55,30.637059,1
0x149ad78e5c4566ee99d5f3a45477713958e74850,1.218e-05,8,0.033333,0.00057975,0.0025,0.02333333,0.00181173,17,0.004,0.000151,1
0xa636fafcf1bb16685af835c2674a7ff022bb67a6,8.18e-06,3,0.016667,0.000491,1.188662,0.0,0.00065466,1,0.589523,1.188662,1
0x0c1d96ecb08792f25d860ef2458ad6ec892f5dea,0.0,1,0.005556,8.896e-05,0.0,0.0,0.00026688,4,0.0014,0.0,0
0x8ed908396130ac1321b6951bf95ff4a9da8ef669,0.0,0,0.0,0.0,0.050175,0.0,0.00010522,1,0.0,0.050175,0
0x2072d48338e65ff7087a44b7c57eda2ca90184ec,0.0,1,0.005556,0.00017295,0.0,0.0,0.00017295,0,0.072125,0.0,0
0x919f8f8e1e1d1e3d0c040e675a76c21b03228844,0.00184219,95,0.35,0.00262123,23.800299,0.00731707,0.00268676,78,23.800719,5.512251,1
0x169e170c8d919483528c7bbf31370eb44d9213ae,5.17e-05,3,0.011111,0.0016488,10.46,0.16666667,0.00412201,3,5.321745,3.503333,1
0x9a049a459990b9570e02f53847cfae6483451e8d,0.00145894,3,0.016667,0.00124792,0.4359,0.02222222,0.00415973,7,0.44,0.112776,1
0x7f2d59c402577c164d932f037bdf3bc83e377893,0.0,1,0.005556,0.00158479,0.003893,0.33333333,0.00475436,2,0.005,0.001947,1
0xc99ac7e95a660e114ad8454422d40a488c0dca78,0.0,1,0.005556,0.00012671,0.0,0.0,0.00012671,0,0.115466,0.0,0
0xd464844ce2cdfdf66b8adf88d800ab80a64417cd,6.853e-05,1,0.0,0.0008,0.008359,0.0,0.0024,2,0.01,0.00418,1
0x5171b26b0c9bad84b1e85a70e918ca477f3f393d,2.489e-05,24,0.005556,0.00018353,0.041408,0.0243129,0.00081753,81,0.045151,0.002064,1
0xfc91ddcc32a3e9e0d4dcec79d65ba9b8fca90c4d,0.0,0,0.0,0.0,0.0,0.0,0.00020762,7,0.0,0.0,0
0x6b7ee69f714a8ba135a231145e39a2e635137b3b,0.0,0,0.0,0.0,0.0,0.0,0.00040984,1,0.0,0.0,0
0xf3a339b26286538000fc86f7bb4493b488545cde,0.00017005,3,0.016667,0.00061075,0.89667,0.1,0.0012215,3,0.598171,0.301621,1
0x0dc68452a95ebfd3241d53e32aae2ae95882c18d,0.0,1,0.005556,0.00018591,0.0,0.0,0.00018591,0,3.0,0.0,0
0x4975828a08dcae328ede3f441c1390c7c3acc968,0.0,0,0.0,0.0,0.0,0.0,0.00010118,1,0.0,0.0,0
0x3043c6c22b8db0028ad101f9d25a436aefbf1abd,0.0,0,0.0,0.0,0.5,0.04444444,0.00028763,16,0.0,0.03125,0
0x5a84969bb663fb64f6d015dcf9f622aedc796750,8.4e-06,10101,0.033333,0.08020041,10864.718197,3.474e-05,0.08021924,1,100.0,10864.718197,1
0x71c3efa645c47c31dda4d71edfc1ff2bc449897f,0.0,1,0.005556,0.00013134,0.5,0.0,0.00052535,3,2.367607,0.203067,0
0x6d9be078beee07dfb13af478e86a39b57173a61e,0.00283917,25,0.094444,0.00020162,0.002,0.06946387,0.00073927,56,0.003,6.4e-05,1
0xdccdce28bba5b796724f1b50ab350403d895fe08,0.0,6,0.033333,0.00022166,3.0,0.23809524,0.0003879,3,2.001,1.823386,1
0xa14b95a7a6c4288f58faebb2ab4492b4c347d6a0,0.0,1,0.005556,8.555e-05,0.0,0.0,0.0001711,1,1.17,0.0,0
0x324e3df7d6747a4445bd70c697065e5bb8c440ee,0.00046217,5,0.027778,0.0026362,3.998665,0.0,0.00351494,1,3.980758,3.998665,1
0xfe821f5509fdea3f72362d001697ad8c11f0c111,0.00015424,8,0.044444,0.00065279,2.082551,0.02777778,0.00073439,1,1.01,2.082551,1
0x8b1b90ae84c9085d318eeae54e114941f072626c,0.0,0,0.0,0.0,0.0,0.0,0.00025499,4,0.0,0.0,0
0x5628b9289157013ead72a70ab520bd81055c1003,6.17e-06,18,0.033333,9.884e-05,1.382,0.00892857,0.00063258,67,1.358,0.066358,1
0xd226fdf86c4d1a080d8826412758ac3692e4d00a,0.0,2,0.011111,0.00086543,0.23,0.33333333,0.00129814,1,0.141149,0.23,1
0xf04fbd7ac26f5d2b4de495208b541ba80a13eb08,0.0,0,0.0,0.0,0.0,0.0,0.00013968,1,0.0,0.0,0
0x3b6a1bcbe677880342b7c4fe7a328c77d9837934,3.4e-07,13,0.066667,0.00013956,0.019636,0.04637097,0.00055825,24,0.022,0.000818,1
0x04b1df7957c7f12cec165a8625d3869d24107c42,0.0,1,0.005556,8.124e-05,0.0,0.0,0.00024372,2,1.69,0.0,0
0x7027992759f8c1120d7454a19e9960e9ed41145a,0.0,0,0.0,0.0,0.434506,0.0,0.04761905,1,0.0,0.434506,0
0xf0f021779f261f086f954311b7e2b193ddcf4de2,0.0,1,0.005556,0.02941176,0.0,0.0,0.02941176,0,0.045252,0.0,0
0xa0300a38bc9c24896d80b92566421e27e393dee4,0.0,0,0.0,0.0,0.0,0.0,0.00011545,2,0.0,0.0,0
0xabaf1f1079a5f19da71bf1fb00875a3fc5437cdb,0.0,427,1.055556,0.00220539,103.999779,0.01486591,0.00222161,327,55.0,2.408478,1
0x024914902e45f761e8089eb376142879eb9fde03,0.0,0,0.0,0.0,0.0641,0.0,0.00015574,3,0.0,0.062033,0
0x4d09b2c27908ad5448cbefa6b8b91c72069dc1d8,0.00010316,4,0.011111,0.0003975,0.149754,0.0,0.00089437,5,0.151,0.042957,1
0x89b1c8610ab218e1999c2cb404e206d1c226fdc8,1.825e-05,6,0.033333,0.00013514,1.1,0.04395604,0.00054058,13,1.105,0.086642,1
0x47f97290589d5978044c2cefe366ff9478bed159,0.0,0,0.0,0.0,0.0,0.0,0.00062073,1,0.0,0.0,0
0x3a4351b8c3aedbd4863ede82e6a6ae54e0343a3a,0.0,1,0.005556,0.0002103,0.0,0.0,0.0002103,0,1.505606,0.0,0
0x914ec63b45ea7705e53fdd1ce5b98d65f3f60392,2.26e-06,3,0.005556,0.0001611,0.007485,0.0,0.00064438,10,0.01,0.001421,1
0xe76d7b8b056c5cf89bd892590fc9e4fdff9f04b9,1.95e-06,4,0.022222,0.00048763,1.000117,0.0,0.00060953,3,1.0006,0.65716,1
0x2c272099bad61c23b82016f6d1b8fad99d27737d,0.0,1,0.005556,0.00020864,29.015892,0.0,0.00041728,1,0.0,29.015892,0
0x2ed3a302f56f0e58d1e470e12e611f6b6395987b,0.0,1,0.005556,0.00068074,0.0091,1.0,0.00204221,2,0.01,0.00455,1
0x71a7880c0940ca988ca876a5ee404ee93b36c42b,0.0,0,0.0,0.0,0.0,0.0,0.00012477,1,0.0,0.0,0
0x9ad30615fa9fa879afe47971935d44abe9950497,4.362e-05,18,0.1,0.00103226,41.64,0.00790514,0.00154839,8,35.4,12.474939,1
0x633af2bf91db2f733b008c8bfe5e993a22564783,0.0,1,0.005556,0.00014314,0.0,0.0,0.00014314,0,1.703196,0.0,0
0x6ea9d465dc1a1fd3d36e626b9f8ad1e022c8fe91,0.00371751,3,0.016667,0.0011355,0.199803,0.83333333,0.001514,3,0.2,0.113072,1
0x9b466b5dbe7030f259b6c77c8209329a74807574,0.00301559,16,0.016667,0.0005493,3.1,0.03557312,0.00171656,41,5.99,0.380769,1
0x4113c6ce4fb936d087e92a55d5b3bfdd275b1d3f,1.913e-05,112,0.038889,0.00093575,199.588639,0.01453536,0.00137358,71,37.2,3.137083,1
0x29f8151ce8e95fae2482a9feef725804a62176ed,0.01009459,4,0.022222,0.00182149,0.145867,0.0,0.00364299,3,0.145888,0.137275,1
0x3738398130d6917b800a3b95d1d373da6c5ca5aa,0.0,1,0.005556,0.00011963,0.0,0.0,0.00011963,0,10.978255,0.0,0
0x691141bc5bddf91455ced7fabfb572cc858313f5,0.0,0,0.0,0.0,0.0,0.0,0.00044504,2,0.0,0.0,0
0xb790ad09461fd55b9fd0e2650750f37b8e2488da,0.0,0,0.0,0.0,2.7,0.0,0.00114548,2,0.0,1.6,0
0x610e453620f3e52e9c8172eacaec46c0d638a412,0.0,0,0.0,0.0,0.0,0.0,0.00010017,1,0.0,0.0,0
0x7586166fa430a041f9e03eda9ba9ed66be6cf8cb,3.807e-05,4,0.022222,0.00020107,1.2,0.03571429,0.00053619,6,1.0,0.46,1
0xc77dcad596e1e8277a2c5a6f985c2e21ea905687,0.00186831,8,0.044444,0.00038745,7.304315,0.16666667,0.00058117,6,3.0,1.425719,1
0x6beb418fc6e1958204ac8baddcf109b8e9694966,0.00052518,9893,9.738889,0.10348901,49.959391,2.171e-05,0.10415846,82,150.0,4.647863,1
0x033909797cad1bc9edebb092da95ad1642e8e534,0.0,0,0.0,0.0,0.0,0.0,0.0001266,1,0.0,0.0,0
0x24eb0439c3f1f2d93c0e2e0e8f2a55c4634b0a98,4.62e-05,8,0.044444,0.00023334,5.9,0.04545455,0.00070002,17,6.0,1.701348,1
0x5af9194c74f56774f7a1410a78f691b30e9a62e5,0.0,1,0.005556,0.00023359,0.0,0.0,0.00023359,0,0.2,0.0,0
0x644de964e1a1de83744e3b849c9a9a6d60f54081,0.02070431,11,0.061111,0.00030469,0.749517,0.03030303,0.00052233,6,0.36952,0.331125,1
0x9c1a90d5b30ca6daa6dbcace29c54b84d2d3d1d3,0.0,1,0.005556,0.00013053,0.0,0.0,0.00013053,0,31.113282,0.0,0
0x5d77050b1dc29ee1b58c98f2d68469b2f6d2be3e,0.00337456,43,0.233333,0.00022419,1.121991,0.00787472,0.00155916,219,0.920036,0.043303,1
0xcb515d908e72dd0e3793d285f4c8208cf0dd592d,1.957e-05,10,0.055556,0.00013313,0.037393,0.05555556,0.00042898,22,0.039262,0.002447,1
0xf1264217954b717072dd0b9990c887984d3fdd03,0.0,0,0.0,0.0,0.0,0.0,0.00022002,1,0.0,0.0,0
0x7323782438d68e885918c0f5d31cb26d148b8acd,0.0,5,0.011111,3.416e-05,2.5e-05,0.10294118,0.0002904,19,0.24,1e-06,0
0xa7ac22937f0cabff3da1fdfdddbc395974c71d53,4.43e-06,4,0.016667,0.00011075,0.003783,0.01818182,0.00040608,8,0.012583,0.001105,1
0xee9c3fdcd501bace1ec6c7ee74229f95c67e47f0,0.0,1,0.005556,0.00011596,0.0,0.0,0.00011596,0,1.495,0.0,0
0xa970052e459bc8076d64643cb226c882519c946e,1.898e-05,13,0.066667,0.0002808,15.01,0.05494505,0.00039313,6,10.0,5.543333,1
0xd66e0729485702232698694aac0cc0b30aedbc34,0.0,0,0.0,0.0,0.0,0.0,0.00019093,2,0.0,0.0,0
0x0eb4c8172c5c2e6a5b800926384a0e899b6e74c2,0.0,0,0.0,0.0,0.0,0.0,0.00015669,2,0.0,0.0,0
0x9b1f42d92f6266c58372c1fb43957fd14c9f7910,0.0,0,0.0,0.0,0.0,0.0,0.00012598,1,0.0,0.0,0
0xd329544e7337648166c983a49ec5c56bfc0c7eae,0.0,0,0.0,0.0,0.0,0.0,8.724e-05,1,0.0,0.0,0
0x36bb0e89f241370a01ef4a00df07577d499a94b9,5.12e-06,5,0.027778,9.137e-05,75.387932,0.21637427,0.000434,17,51.5,4.728702,1
0x6a6c57246c24e33426a90ac6f400e998f46ec501,0.0,0,0.0,0.0,0.299295,0.0,0.00014645,5,0.0,0.283891,0
0x01a164344bc37519ec1ac93a399c4c1f607e6e90,0.0,0,0.0,0.0,0.0,0.0,0.00038081,1,0.0,0.0,0
0x87cde986af467fe918372a8b951ee5691bb19a6e,0.0,1,0.005556,0.00012821,0.0,0.0,0.00012821,0,0.002,0.0,0
0x8b2db4262a6fb1c716bfaa0b83efdecf04bf11c5,0.0,3,0.016667,0.00030921,0.0,0.0,0.00030921,0,200.0,0.0,0
0x68b9c6eb69cd667ea37adb531c6327f4c4cc1613,0.0,0,0.0,0.0,0.0,0.0,0.0003917,1,0.0,0.0,0
0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2,1.083e-05,9226,0.427778,0.04297355,30.0,7.274e-05,0.04299215,964,20.0,0.975635,1
0x1a3760add726558477307ca3d17cd31e5ece6a7f,0.00024002,6,0.033333,0.00092635,0.619,0.0,0.00185271,7,0.619031,0.184775,1
0x3c38677eca256ff14acd976d0852e9f903ba19f8,0.0001919,23,0.127778,0.001078,10.0,0.01515152,0.00228282,41,13.0,2.2398,1
0x5ec505f915c4acd5e340e382113882fe25b00f0d,0.0,0,0.0,0.0,0.0,0.0,0.00024331,2,0.0,0.0,0
0x451a83053067de06e2043cc3f5c54b5b46e3a9a3,0.0,0,0.0,0.0,0.116013,0.0,0.00020268,2,0.0,0.101915,0
0x149759d6e86db8742606fa8b68125233c8d1529f,7.501e-05,33,0.155556,0.00132392,0.15,0.03571429,0.00353045,5,0.08363,0.094775,1
0xa38b57748e4f59adf006b68ee50b45bf553489d6,0.0,0,0.0,0.0,0.0,0.0,0.00031437,1,0.0,0.0,0
0x8ba4355159cbf8f50604b4052f633ceccd44abba,1.841e-05,3,0.0,0.00025927,7.998724,0.10714286,0.00103708,12,4.47048,0.740473,1
0xd8abc56662a3cdec4e7c9d3de04c3f5e3d427591,0.0,1,0.005556,3e-05,0.0,0.0,0.00023997,11,0.002,0.0,0
0x4121cc82607ebab3f334e067f37fe2709c403bf6,0.0022893,94,0.177778,0.00071014,2.3,0.03564303,0.00172463,156,1.187148,0.051079,1
0x997f075b25cee2feb07ef1b53b202ad1c33bc739,0.02008032,7,0.038889,0.08333333,1995.476051,0.0,0.0952381,1,406.448322,1995.476051,1
0x28ff829f7f5003af9945a6937ae71261a97b4a4a,0.0,0,0.0,0.0,0.0,0.0,0.001002,1,0.0,0.0,0
0x7a36db3401de21d296050f399baf85c95dea9a51,0.0,0,0.0,0.0,0.0,0.0,0.00015133,1,0.0,0.0,0
0x425e244db4de61348c5bd89245aa513e7ea4c009,0.09642806,1422,0.0,0.02116221,1.0,0.00072324,0.02147269,1065,0.295,0.003716,1
0x65441cd0558ee37305bd8508b6a3902ef5db01da,0.0,0,0.0,0.0,0.0,0.0,0.00010655,1,0.0,0.0,0
0xe9e68e57c8fcd61e28ae873029f3a5e3eae5f05d,0.0,0,0.0,0.0,0.0,0.0,0.00017093,9,0.0,0.0,0
0xc74b22ec3ab8caf5126edea4201ac300df23a9b7,0.0,0,0.0,0.0,2.485456,0.0,0.00030193,8,0.0,1.250766,0
0x48f366d0912f7be046a13511c436e7dd66b3db3d,0.0,0,0.0,0.0,0.0,0.0,0.00014948,1,0.0,0.0,0
0x5a0d2748a84ac6ecc27d789636dba75ce813a8d0,0.0,4,0.022222,0.03125,0.05,0.0,0.0625,2,28.77486,0.05,1
0x3ca36e80385e64d2d5d0af9c200cbfc0cbbbe036,0.0,0,0.0,0.0,0.0,0.0,0.00011875,1,0.0,0.0,0
0x878b7d397358fb61e3150ee9d38d61b57b5959ef,0.0,1,0.005556,0.00013484,0.0,0.0,0.00013484,0,0.214,0.0,0
0xe69728c904f250c6f67155c5fd02222066ff7ff9,0.00021855,2,0.011111,0.00206398,0.045711,0.16666667,0.00515996,3,0.05,0.02157,1
0x4c8abb23e6f682b698665a24606133c2163cd8af,0.02630041,1,0.005556,0.01694915,0.845684,1.0,0.03389831,2,1.0,0.497833,1
0x4c520931d8732c44845c2bf1500e16c2a3f0172f,2.779e-05,3,0.016667,0.00023637,0.000115,0.01818182,0.00086669,8,0.01,2.7e-05,1
0x2c886545e3b733624d30802f13532d4701f1b536,0.0,2,0.011111,0.00169779,0.009559,1.0,0.00509338,3,0.01,0.006217,1
0x8b970e087917aacc36f11a628a11b42187ec2ddf,0.00052372,1,0.005556,0.00097182,0.073586,0.0,0.00194363,5,0.215074,0.042574,1
0x1a2e19f9ab0c0768a59521d7afefec5b7d308be1,0.0,1,0.005556,0.00169779,0.009094,1.0,0.00509338,2,0.01,0.004547,1
0x43ae04b7bf832bbbeee7ef0b1e6b26501c46d41d,5.864e-05,340,1.483333,0.00199592,39.958508,0.00500132,0.00219635,332,40.0,0.955638,1
0x49f41c448fb92161c290741bc21cdbe24e4d5102,0.0,0,0.0,0.0,1.80129,0.0,0.00012384,1,0.0,1.80129,0
0xb2662a908cb0dedc4f1f648c16f8ea832e74a4b0,2.89e-06,2,0.011111,0.00022235,7.5e-05,0.33333333,0.00044469,3,0.000364,2.5e-05,1
0x3774ea9d74e9b17f9bd6d186e558c77ed70ca353,0.0,0,0.0,0.0,0.07958,0.0,0.00018238,1,0.0,0.07958,0
0x4620f0c87d7efb026ef7f80cd916d17a2acdead8,0.0,1,0.005556,0.00015272,0.0,0.0,0.00015272,0,0.2,0.0,0
0xbd64a29cb46c28f9cceec2018e43c739e4509c81,0.0,0,0.0,0.0,0.0,0.0,0.00031556,1,0.0,0.0,0
0x22d1755515bef4afd277d8acd42adbac49c77d43,0.16193189,11185,0.488889,0.20015155,0.029931,7.338e-05,0.20019365,9,0.024258,0.004518,1
0xb4f910718a3228e67164b4a024faa97513dcb2d2,0.0,0,0.0,0.0,0.0,0.0,0.00039888,1,0.0,0.0,0
0xf328c09e1d7e7e545e69166fcdf06a8ef7b12c32,0.04545455,2,0.011111,0.09090909,33.93,0.0,0.13636364,1,28.433,33.93,1
0x52319fe9bfad82fad740cb51d3f718a31f4c3e60,0.0,0,0.0,0.0,0.0,0.0,9.746e-05,1,0.0,0.0,0
0x90b5a195b96c20700efae283cac1ede5fb751289,0.04072398,2,0.011111,0.03846154,52.483339,0.06666667,0.11538462,5,52.484389,11.313944,1
0x15c6c0cc705777474d63ff7478d948e982d658b1,0.0,1,0.005556,9.985e-05,0.0,0.0,9.985e-05,0,0.0,0.0,0
0x8b7399097f741a60a734d66030782d79776c8a0e,1.8e-07,18,0.1,0.00035016,6.933439,0.08333333,0.00039392,1,0.42,6.933439,1
0xb9934fc1a83ee00cfb8f3f496f25e0d7ba6e4087,0.0,0,0.0,0.0,0.0,0.0,0.00045572,16,0.0,0.0,0
0x98303b8252c716000d8b80782c2dc4ac0aa85acb,4.392e-05,5,0.011111,0.00044808,2.405829,0.0,0.00123222,10,2.41815,0.495941,1
0x2bf67455095a09a7a7bb95d69b8a48efca704d0b,3.179e-05,3,0.016667,5.298e-05,33.192237,0.26666667,0.00031788,28,0.3,1.349889,1
0xe11df1e5afb518d407ef8b07c527cb60822c4b0b,0.0,0,0.0,0.0,0.0,0.0,0.00023616,2,0.0,0.0,0
0xa3e52a23060ccdfe186822b52bf60a07451e094e,0.0063118,2,0.011111,0.02040816,0.2,0.0,0.04081633,2,0.2,0.162,1
0x5a76095321387ad256722203b63679047c0a7e32,0.0,1,0.005556,0.00021706,0.0,0.0,0.00021706,0,0.01,0.0,0
0x18c52c840490b8a793f0468b992ddfef93acdf2c,0.0,2,0.011111,0.00735294,0.0,0.0,0.00735294,0,0.0013,0.0,0
0x7be8b4424a0bf36be592aef5aff8da81230fc9de,0.0,1,0.005556,7.036e-05,0.232018,1.0,0.00014073,2,0.0,0.128395,0
0x0511d50cc0d3915d6b3fa3fa20bd2ae751dccabf,0.0,0,0.0,0.0,0.0,0.0,0.0001816,3,0.0,0.0,0
0x74bc75e7397da7864f2efc5a25063574baef9bc3,0.0,1,0.0,0.00012249,132.1944,1.0,0.00024498,1,0.373976,132.1944,0
0xd539612b8874c401fddd45a0d673206e85388119,0.0,1,0.005556,0.00015506,0.0,0.0,0.00015506,0,10.03,0.0,0
0x20b1919b304d83158c395790f6e9a53aea6dfa97,0.0,0,0.0,0.0,0.0,0.0,0.00080192,2,0.0,0.0,0
0x05ceca187caba57008bb531e1c14a2814e848801,0.00376,634,3.15,0.00287667,26.99958,0.00029336,0.00289091,510,27.0,1.017075,1
0x0ec938b5400bf94882f36f16fa94db4a4bd9aa10,0.0,0,0.0,0.0,0.015565,0.0,0.00021008,1,0.0,0.015565,0
0xc35bc9408d11af9aef82a9bbfb95b62a9b71f6d3,0.00271404,2,0.011111,0.00210305,0.009843,0.0,0.0042061,2,0.010284,0.009701,1
0x4354dcd0bd968f2b37baaf6f0285113525e5bb8b,3e-07,1,0.005556,0.00046125,0.0,0.0,0.00138376,3,0.01,0.0,1
0x28f4c90197238494d309446c277b2ca93646e88b,0.11436357,107,0.594444,0.09394205,89.865051,0.0003276,0.09745391,4,66.51358,23.496513,1
0x368eeb3eab32d0a4325cba547aff25e58122b6df,2.112e-05,5,0.027778,0.00018251,0.002656,0.12727273,0.00047452,8,0.004,0.000438,1
0x02e1c611e3741f645384f40dcc8adb2c18d6b90a,0.23809524,3,0.016667,0.42857143,5.268862,0.0,0.57142857,1,2.162962,5.268862,1
0xeeea4c1b76167ce78be74b9f93df5bdb1a7c244b,0.0,1,0.005556,0.00091996,0.0,0.0,0.00091996,0,0.024205,0.0,0
0xdc1c1f0614b00d4fd17e9571d0e397cc97bc3675,0.00189758,4,0.022222,0.00054474,0.101491,0.13333333,0.00108947,4,0.1,0.047817,1
0xf1da601832b47b3b9474fb8be248289e52a7db8b,2.392e-05,18,0.1,0.00012362,0.01,0.02285714,0.00105081,50,0.02,0.000588,1
0xa2f3fda8cf36b1aba1ca8b006d991d82211c7a38,0.06646751,2,0.011111,0.01923077,0.048523,0.0,0.03846154,2,0.083,0.035943,1
0x0a9f58ee19a7131ed031ea66a032c05c7efe965a,8.99e-06,46,0.255556,0.00049675,12.5,0.04615385,0.00054904,11,5.234373,4.753741,1
0xb89c332bdc14064a62b19db306d787aafef3cf33,5.94e-06,1,0.0,4.07e-05,0.0,0.0,0.00028488,9,5e-05,0.0,0
0xf69d0e16e93f0dc07745db6882e24dda9be957c4,0.0,0,0.0,0.0,0.0,0.0,0.00020166,12,0.0,0.0,0
0x216dc48f74bacc2a1ae7c064fd22cb542a70088e,0.00014371,5,0.027778,0.00029114,3.370869,0.02222222,0.00058228,6,1.99,0.698833,1
0xa730992f2e874751789d8334bef55e0aebd92a4d,0.0,1,0.005556,0.00392157,0.0,0.0,0.00392157,0,2.788,0.0,0
0x6fbf39a72e6ae606dcf9f43bb533fab84eb950f0,0.0,4,0.022222,0.0002051,0.000125,0.0,0.00054693,5,0.0002,2.5e-05,1
0x15058746cc0c488bca8b1557d5c863bd67bb7c74,0.0,0,0.0,0.0,1.0,0.0,0.00246914,2,0.0,1.0,0
0x7bc2b6ed0f583d0e82ca4fd0c8a357809ec7b5f0,0.0,1,0.005556,0.00026925,0.0,0.0,0.00026925,0,0.086224,0.0,0
0x7c1e9d15d305fa36cd52a523edf28b46708c98bc,6.34e-06,18,0.055556,0.00013461,0.42,0.06666667,0.0005474,52,0.879275,0.01845,1
