node,sample_idx,n_nodes,n_edges,is_phisher,out_degree,in_degree,direction_ratio,max_out_amount,min_out_amount,avg_out_amount,max_in_amount,min_in_amount,avg_in_amount,account_balance,lifetime_days,active_days,freq_out_short,freq_in_short,freq_out_long,freq_in_long,short_long_out_ratio,short_long_in_ratio,katz_centrality,betweenness_centrality,degree_centrality,closeness_centrality,clustering_coefficient,eigenvector_centrality,in_degree_centrality,out_degree_centrality
0x6d9be078beee07dfb13af478e86a39b57173a61e,24,89278,612531,True,56,25,0.691358,0.002,0.0,6.4e-05,0.003,5e-05,0.000622,0.011973,268,33,0.066667,0.0,0.183333,0.094444,0.363636,0.0,0.00343029,0.0042807,0.00073927,0.02534492,0.06946387,0.0,0.00020162,0.00053765
0x70a902ed7ae3c7cbf2df0f710c11852ac30e29c2,25,14394,106016,True,19,37,0.339286,68.4962,0.0,8.673711,16.295,0.043373,4.459564,0.203355,263,33,0.066667,0.133333,0.105556,0.183333,0.631579,0.727273,0.00928255,0.00041273,0.00187591,0.141986,0.01709402,0.0,0.0006253,0.00125061
0x2c886545e3b733624d30802f13532d4701f1b536,26,590,17426,True,3,2,0.6,0.009559,0.0,0.006217,0.01,0.01,0.01,0.001348,0,1,0.1,0.066667,0.016667,0.011111,6.0,5.999999,0.04054421,0.0,0.00509338,0.22710001,1.0,9.6e-07,0.00169779,0.00339559
0xbb81f9053ce652cedcf04106a1af3ef2f2a2f6f6,27,35960,492189,True,56,40,0.583333,3.151239,0.001678,0.549482,5.0,0.15,0.769874,0.023968,82,45,0.8,0.566667,0.311111,0.222222,2.571429,2.55,0.0073395,0.00068213,0.00253066,0.17830635,0.0009768,1e-08,0.00097333,0.00155733
0xb00548770ea87482f024cd4292a975fea72e8f01,28,151822,1345856,True,577,66,0.897356,50.0,0.0,0.708333,80.0,0.002522,3.66516,-166.807705,66,9,0.033333,0.0,3.205556,0.366667,0.010399,0.0,0.00327342,0.0027284,0.00111315,0.03371096,0.01796814,0.0,0.00035568,0.00075747
0x2ad180cbaffbc97237f572148fc1b283b68d8861,29,14090,482204,True,43,2660,0.015908,10.799987,0.001,0.536361,6.88,0.0,0.010358,4.488035,451,236,0.0,13.466667,0.05,14.177778,0.0,0.949843,0.06815918,0.00013629,0.1053304,0.2074758,0.00011269,0.0,0.10497551,0.00035489
0xb8f18b49a2b97ebd65fd1379f4f5d3db89855622,30,43807,771005,True,30,14,0.681818,10.0,0.0,1.143029,10.049,0.0001,2.174409,-3.849131,125,18,0.2,0.166667,0.166667,0.077778,1.2,2.142857,0.00506528,0.00069622,0.00063918,0.07675814,0.04666667,0.0,0.00018262,0.00045656
0xdccdce28bba5b796724f1b50ab350403d895fe08,31,18047,579456,True,3,6,0.333333,3.0,0.980357,1.823386,2.001,0.01,0.911934,0.001449,5,4,0.1,0.2,0.016667,0.033333,6.0,6.0,0.0072825,1.1e-07,0.0003879,0.10212657,0.23809524,0.0,0.00022166,0.00016624
0x69d07b6d25f32c26faf4170aebbf5c602d6dcaff,32,64544,620938,True,106,24,0.815385,100.0,0.0,1.892581,33.490621,0.00651,5.231197,-75.06487,7,8,3.533333,0.8,0.588889,0.133333,6.0,6.0,0.00446814,1.608e-05,0.00077468,0.05368544,0.03574879,0.0,0.00032536,0.00044931
0xdf9191889649c442836ef55de5036a7b694115b6,33,35354,466999,True,29,10,0.74359,5595.0,0.0,474.034483,13000.0,49.0,2241.413255,8667.132551,96,9,0.166667,0.033333,0.161111,0.055556,1.034483,0.6,0.00593203,2.987e-05,0.00045258,0.10922466,0.14102564,0.620368,0.00016972,0.00028286
0xeb945ee7193b578dc1fea2af1712907dfb3b9b24,34,907,31335,True,2,1,0.666667,0.003224,0.0,0.001612,0.005,0.005,0.005,0.001776,0,1,0.066667,0.033333,0.011111,0.005556,5.999999,5.999999,0.03255157,8.049e-05,0.00331126,0.11788239,1.0,0.0,0.00110375,0.00220751
0x4a8333081a35675696e38fa4adedd80e4ae9c252,35,6884,87386,True,4,1,0.8,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0,2,0.133333,0.033333,0.022222,0.005556,6.0,5.999999,0.01136164,1.2e-07,0.00043586,0.00558227,0.66666667,0.0,0.00014529,0.00029057
0xb87a309da720c40dd606f6c9083ae2c75949268e,36,4618,32199,True,2,1,0.666667,0.003332,0.0,0.001666,0.006,0.006,0.006,0.002668,4,2,0.066667,0.033333,0.011111,0.005556,5.999999,5.999999,0.01394013,0.00048986,0.00064977,0.02806466,0.33333333,0.0,0.00021659,0.00043318
0xdff06e603de64027cf0a6bd602ca0fa0d88855cd,37,143,432,True,1,12,0.076923,199.999958,199.999958,199.999958,30.0,2.0,16.666667,4.2e-05,205,11,0.033333,0.0,0.005556,0.0,5.999999,0.0,0.08629733,0.02452302,0.06338028,0.47376149,0.25,0.05024444,0.05633803,0.00704225
0x48ec7767d5def1c1520402b092356e070c5f1adc,38,46088,520522,True,1,28,0.034483,27.010547,27.010547,27.010547,5.0,0.001106,0.964677,0.00042,9,4,0.033333,0.933333,0.005556,0.155556,5.999999,6.0,0.00645137,2.487e-05,0.00060755,0.15065345,0.00529101,0.0,0.00058585,2.17e-05
0xda5724e5973d3c42133c2dffb058532c55164975,39,12249,360799,True,9,2,0.818182,0.02,0.0,0.002343,0.03,0.01,0.02,0.018913,37,4,0.033333,0.033333,0.05,0.011111,0.666667,3.0,0.00821363,0.00028399,0.00048988,0.15964534,0.2,0.0,0.00016329,0.00032658
0x2ed3a302f56f0e58d1e470e12e611f6b6395987b,40,1470,12616,True,2,1,0.666667,0.0091,0.0,0.00455,0.01,0.01,0.01,0.0009,0,1,0.066667,0.033333,0.011111,0.005556,5.999999,5.999999,0.02559814,0.0,0.00204221,0.0105514,1.0,0.0,0.00068074,0.00136147
0xdf6ef343350780bf8c3410bf062e0c015b1dd671,41,25114,1132857,True,6,10270,0.000584,1.0,0.0001,0.17335,10.99,0.0,0.001095,10.208361,472,162,0.0,0.1,0.0,0.172222,0.0,0.580645,0.16869658,1.959e-05,0.21415203,0.2872429,1.439e-05,5e-08,0.21411221,3.982e-05
0x2dbe0f03f1dddbdbc87557e86df3878ae25af855,42,22031,788274,True,233,2022,0.103326,55.0,0.00321,2.576256,65.0,0.0,0.445542,300.618375,514,276,0.0,0.133333,0.0,0.477778,0.0,0.27907,0.02593216,1.271e-05,0.02700862,0.10108079,7.356e-05,0.0,0.02696323,4.539e-05
0x04dc88636ed615f10066b5c1bbc22a672ba5c39d,43,28938,76844,True,14,4,0.777778,0.12,0.0,0.023829,0.12,0.0002,0.086001,0.010403,140,8,0.033333,0.0,0.077778,0.022222,0.428571,0.0,0.0057761,2.161e-05,0.00034558,0.0198142,0.0,0.0,0.00013823,0.00020735
0xa9bbca8e5163a54fb7af5228b2f34343d332246f,44,70807,842958,True,61,14,0.813333,0.201,0.0,0.008028,0.201,0.001,0.020502,-0.202675,173,18,0.233333,0.066667,0.338889,0.077778,0.688525,0.857143,0.00401896,0.00053009,0.0007344,0.04913101,0.04255319,1.46e-06,0.00015535,0.00057905
0x1a2e19f9ab0c0768a59521d7afefec5b7d308be1,45,590,17426,True,2,1,0.666667,0.009094,0.0,0.004547,0.01,0.01,0.01,0.000906,0,1,0.066667,0.033333,0.011111,0.005556,5.999999,5.999999,0.04054421,0.0,0.00509338,0.22710001,1.0,4.8e-07,0.00169779,0.00339559
0x0d6d83a83ef06f1cdf9f9ae9425ee91d45520684,46,15936,459103,True,15,4,0.789474,5.67,0.0,0.60589,5.68645,0.005,2.273497,0.005643,184,6,0.033333,0.0,0.061111,0.016667,0.545455,0.0,0.00743073,3.201e-05,0.00037653,0.14866086,0.2,2e-08,0.00012551,0.00025102
0xb86cd6e6445d9f13cfa43cf2623e9baf86be96a1,47,139366,1034229,True,314,38,0.892045,5.0,0.0,0.102709,7.10586,0.012,0.80452,-1.678822,441,83,0.066667,0.0,0.266667,0.027778,0.25,0.0,0.00319517,2.788e-05,0.00068166,0.04819474,0.00280505,2.189e-05,0.00015068,0.00053098
0xb64f875daa42173ccac0b01e502695b61a1a9a64,48,6565,299014,True,4,8,0.333333,2.449139,0.499439,1.648493,2.45,0.0,0.824677,0.003444,6,6,0.133333,0.266667,0.022222,0.044444,6.0,6.0,0.01226072,0.00202514,0.00137112,0.07432816,0.02777778,0.0,0.00106642,0.00030469
0xb4e71fda1304fcb03975e366cb166f049836f898,49,13765,163990,True,6,2,0.75,0.045692,0.0,0.010105,0.05,0.01674,0.03337,0.006107,30,3,0.066667,0.033333,0.033333,0.011111,2.0,3.0,0.00797069,0.0,0.00050857,0.02117133,0.2,0.0,0.00014531,0.00036327
0x5ab15d763d65f920aa475fad489b9ef0f2accf36,50,5461,94816,True,4,12,0.25,3.330759,0.032,1.900643,0.860003,0.287335,0.633639,0.0011,233,10,0.066667,0.066667,0.022222,0.011111,3.0,5.999999,0.01404029,0.00186353,0.00238095,0.06838254,0.01282051,0.0,0.00164835,0.0007326
0xf23f9dda63ed0628609272dc0544c7a2f7189f51,51,27930,739790,True,1,16,0.058824,18.904372,18.904372,18.904372,6.5,0.0,1.181605,0.001302,213,6,0.033333,0.0,0.005556,0.0,5.999999,0.0,0.00689525,2.678e-05,0.00053708,0.15299607,0.08571429,0.0,0.00050127,3.581e-05
0xef7149290d68db4ae877c8fa32e89f99939eb2bd,52,4550,312483,True,73,185,0.282946,0.05,0.0001,0.004655,0.1,0.0,0.003638,0.333101,293,49,0.0,0.066667,0.0,0.011111,0.0,5.999999,0.02492373,0.07519465,0.03253462,0.10493935,0.00251607,0.0,0.03231479,0.00021983
0x9c7ca76003a85aa4ab4ff622130c8d680022d3ea,53,50597,561813,True,50,36,0.581395,2.433484,0.011658,0.464362,3.0,0.15,0.645557,0.021937,99,41,0.366667,0.266667,0.277778,0.2,1.32,1.333333,0.00676424,0.0004942,0.00158115,0.19350288,0.00221519,0.0,0.00059293,0.00098822
0x9054b1ec37b544007a0485524633725cf719d466,54,81006,451445,True,36,3,0.923077,0.034509,0.0,0.001187,0.037657,0.01,0.019219,0.01493,109,18,0.2,0.033333,0.2,0.016667,1.0,2.0,0.00297342,2.8e-06,0.00041973,0.01967282,0.02083333,8.7e-07,3.703e-05,0.00038269
0xd226fdf86c4d1a080d8826412758ac3692e4d00a,55,2312,24803,True,1,2,0.333333,0.23,0.23,0.23,0.141149,0.092858,0.117003,0.004007,9,2,0.033333,0.066667,0.005556,0.011111,5.999999,5.999999,0.0208686,0.0,0.00129814,0.25217092,0.33333333,0.0,0.00086543,0.00043271
0xe69728c904f250c6f67155c5fd02222066ff7ff9,56,970,19096,True,3,2,0.6,0.045711,0.0,0.02157,0.05,0.020235,0.035118,0.005524,0,1,0.1,0.066667,0.016667,0.011111,6.0,5.999999,0.03149517,0.00021855,0.00515996,0.04113974,0.16666667,0.0,0.00206398,0.00309598
0xa5d13912201028f8d3c249a7eacc92cd49cb3b7b,57,29121,129357,True,13,5,0.722222,0.02141,0.0,0.001666,0.028246,0.001,0.007796,0.017319,64,6,0.233333,0.066667,0.072222,0.027778,3.230769,2.4,0.00666964,2.322e-05,0.00041209,0.14299737,0.03636364,0.0,0.00013736,0.00027473
0xfc8e79af70b4cb3cc584f990608bfee0d8f7accd,58,1251,14492,True,2,1,0.666667,0.009094,0.0,0.004547,0.01,0.01,0.01,0.000906,13,2,0.066667,0.033333,0.011111,0.005556,5.999999,5.999999,0.02779097,6.853e-05,0.0024,0.01121333,0.0,0.0,0.0008,0.0016
0x552ea0a76d37fc02e61082bb8c182dfe555d395a,59,63047,297306,True,61,11,0.847222,0.011928,0.0,0.000325,0.014109,0.001,0.005601,0.04178,323,27,0.266667,0.033333,0.077778,0.011111,3.428571,3.0,0.00365079,3.21e-06,0.00093582,0.00914935,0.00233781,0.0,0.00011103,0.00082479
0x919f8f8e1e1d1e3d0c040e675a76c21b03228844,60,15261,433663,True,78,95,0.450867,23.800299,0.474285,5.512251,23.800719,0.003259,4.526289,0.041891,269,58,0.133333,0.133333,0.277778,0.35,0.48,0.380952,0.00943368,0.0,0.00268676,0.07025639,0.00731707,0.0,0.00262123,6.553e-05
0xa3e52a23060ccdfe186822b52bf60a07451e094e,61,99,3590,True,2,2,0.5,0.2,0.124,0.162,0.2,0.125,0.1625,0.001,4,4,0.066667,0.066667,0.011111,0.011111,5.999999,5.999999,0.10089707,0.0063118,0.04081633,0.10741139,0.0,0.00135073,0.02040816,0.02040816
0x182999cecda097b5638c0c580e61a627fb4785e9,62,12371,58902,True,6,2,0.75,0.0,0.0,0.0,0.005,0.004,0.0045,0.009,60,6,0.133333,0.033333,0.033333,0.011111,4.0,3.0,0.00855559,0.00139332,0.00056589,0.0552434,0.04761905,0.0,0.00016168,0.0004042
0xa46311dc4d3bc52b66d45e74682042bb143a9aa3,63,79,546,True,5,3,0.625,0.497147,0.003,0.235772,0.51204,0.20013,0.393758,0.002415,40,5,0.1,0.066667,0.027778,0.016667,3.6,4.0,0.11330363,0.13120213,0.08974359,0.19667023,0.0,0.0,0.03846154,0.05128205
0xcb515d908e72dd0e3793d285f4c8208cf0dd592d,64,67604,812670,True,22,10,0.6875,0.037393,0.0,0.002447,0.039262,0.0003,0.005334,-0.000489,176,9,0.033333,0.033333,0.122222,0.055556,0.272727,0.6,0.00363332,1.938e-05,0.00042898,0.03018324,0.05555556,0.0,0.00013313,0.00029584
0x65c40db0c9d095929e1f1e08f566d60549525852,65,8642,77594,True,5,4,0.555556,13.0,0.0,2.719755,6.793414,0.01,3.400843,0.004598,39,5,0.133333,0.033333,0.027778,0.022222,4.8,1.5,0.01128116,6.415e-05,0.00081009,0.23772979,0.04761905,0.0,0.00023145,0.00057864
0x7eb28833082eb28fd423ab30df20afde98c47dbf,66,33067,511788,True,3,64,0.044776,38.249013,0.299139,22.959342,5.0,0.001,1.076259,0.00252,83,9,0.033333,0.0,0.016667,0.355556,2.0,0.0,0.00805727,0.00146245,0.00193552,0.16890775,0.01587302,0.0,0.0018448,9.073e-05
0x6ea9d465dc1a1fd3d36e626b9f8ad1e022c8fe91,67,2643,14451,True,3,3,0.5,0.199803,0.069643,0.113072,0.2,0.07,0.113333,0.000785,0,1,0.1,0.1,0.016667,0.016667,6.0,6.0,0.01915791,0.00371751,0.001514,0.21163082,0.83333333,3.4e-07,0.0011355,0.0003785
0x4113c6ce4fb936d087e92a55d5b3bfdd275b1d3f,68,116485,1320026,True,71,112,0.387978,199.588639,0.0,3.137083,37.2,0.001575,1.901962,-9.713166,195,16,0.233333,0.0,0.383333,0.038889,0.608696,0.0,0.00452749,2.376e-05,0.00137358,0.03628269,0.01453536,0.0,0.00093575,0.00043783
0x8e0aa0323ef887108cabf3b77923afb194db902e,69,11104,42833,True,2,1,0.666667,0.0,0.0,0.0,0.002,0.002,0.002,0.002,144,2,0.033333,0.0,0.011111,0.005556,3.0,0.0,0.00886108,2.7e-07,0.0002702,0.02124904,0.33333333,0.0,9.007e-05,0.00018013
0xbee564dca2df485084426b8611c6d5c011640c49,70,117,259,True,12,12,0.5,21.0,0.354466,4.113444,16.516072,0.0922,4.114305,0.010332,18,7,0.4,0.4,0.066667,0.066667,6.0,6.0,0.09455952,0.06964018,0.12068966,0.39165788,0.19230769,0.24250755,0.05172414,0.06896552
0xabaf1f1079a5f19da71bf1fb00875a3fc5437cdb,71,123335,1395888,True,327,427,0.433687,103.999779,0.009622,2.408478,55.0,0.01,1.844676,0.104105,320,206,0.933333,1.166667,0.766667,1.055556,1.217391,1.105263,0.00931641,0.0,0.00222161,0.18265241,0.01486591,5e-08,0.00220539,1.622e-05
0xd8df3a92564b1291d3ca5fcb1fd643cb32d0a054,72,4852,32651,True,1,2,0.333333,3.592154,3.592154,3.592154,3.492654,0.1,1.796327,0.0005,0,1,0.033333,0.066667,0.005556,0.011111,5.999999,5.999999,0.01358156,0.00020776,0.00041229,0.00047118,0.0,0.0,0.00020614,0.00020614
0x8b970e087917aacc36f11a628a11b42187ec2ddf,73,1030,16056,True,5,1,0.833333,0.073586,0.029283,0.042574,0.215074,0.215074,0.215074,0.002205,4,4,0.166667,0.033333,0.027778,0.005556,6.0,5.999999,0.03068133,0.00052372,0.00194363,0.24548665,0.0,0.0,0.00097182,0.00097182
0xa4fe2874a4ad464a50cb72a8c0b1a6ab221a7c17,74,89458,856761,True,2,31,0.060606,37.953041,1.0,19.476521,10.0,0.0004,1.256605,0.001722,34,5,0.066667,0.9,0.011111,0.172222,5.999999,5.225806,0.00551943,2.146e-05,0.00032418,0.14270921,0.02216749,2e-08,0.000313,1.118e-05
0xcfa777a8d9060e298d9e49731d2fa1e4cdd9915f,75,8,9,True,2,1,0.666667,0.900552,0.268314,0.584433,1.16895,1.16895,1.16895,8.4e-05,18,3,0.066667,0.033333,0.011111,0.005556,5.999999,5.999999,0.35333759,0.14285714,0.42857143,0.25714286,0.0,0.39191916,0.14285714,0.28571429
0xbe87ea6d3b72e7a3cd64e50d9934faa74071561d,76,189381,1918834,True,829,1132,0.422743,26.759916,0.005,1.356835,28.715602,0.0,0.993532,-0.138917,402,316,1.4,3.066667,2.05,3.927778,0.682927,0.780764,0.01357041,0.001068,0.00606717,0.19797811,0.00455265,4.1e-07,0.00346393,0.00260323
0x52c45b5c67245946e0cee2734cebfb0204a075bb,77,262385,2098969,True,495,73,0.871479,168.0,0.0,0.883791,41.877532,0.0,3.493707,-182.436121,74,17,0.333333,0.133333,2.75,0.405556,0.121212,0.328767,0.00245794,0.00029457,0.00067458,0.02679376,0.0127279,1.46e-06,0.00019437,0.00048021
0xc9aedee8fedb4663e0adba2daa539ff20707358e,78,1926,22385,True,2,1,0.666667,0.009098,0.0,0.004549,0.01,0.01,0.01,0.000902,0,1,0.066667,0.033333,0.011111,0.005556,5.999999,5.999999,0.02240091,0.0,0.00155844,0.06543185,1.0,3.4e-07,0.00051948,0.00103896
0x0c9fe4966e78150900bafc58731e1c51d91d41dc,79,51299,762753,True,71,9,0.8875,0.15,0.0,0.004179,0.158595,0.000356,0.022553,-0.093766,353,14,0.2,0.0,0.316667,0.005556,0.631579,0.0,0.00502271,9.014e-05,0.00081875,0.07923542,0.01619433,3e-08,0.00015595,0.00066279
0x8bd0e0d7b01556b510757499fc702eb9a99d7d3c,80,11883,112159,True,5,3,0.625,1.057938,0.00061,0.294909,1.08,0.068,0.493626,0.006331,387,5,0.033333,0.033333,0.016667,0.011111,2.0,3.0,0.00924426,5.05e-05,0.00058913,0.08955931,0.0,0.0,0.00025248,0.00033664
0xd9e84d5866d0f863a3846492f204019ecd9cfb10,81,18102,134187,True,3,3,0.5,0.266578,0.0,0.091621,0.167795,0.01,0.092333,0.002134,153,5,0.033333,0.0,0.016667,0.016667,2.0,0.0,0.00760716,6.796e-05,0.00033147,0.04040597,0.06666667,0.0,0.00016574,0.00016574
0xaee88e91571fd169dff54b2df983757538a12403,82,12748,461573,True,4,2,0.666667,1.0,0.0,0.253274,1.008,0.01,0.509,0.004904,81,3,0.066667,0.033333,0.022222,0.011111,3.0,3.0,0.00855933,0.0,0.00039225,0.1043878,0.33333333,0.0,0.0001569,0.00023535
0xc78d72ec8e4e964a9d03de600f1ebbde9da94ae5,83,28562,649439,True,15,8,0.652174,0.113845,0.0,0.009575,0.1,9.6e-05,0.0194,0.011578,181,12,0.133333,0.1,0.083333,0.027778,1.6,3.6,0.00571977,2.57e-05,0.00052519,0.07425584,0.12820513,0.0,0.00017506,0.00035013
0x54bdcdbe604c38b8aa8a63ed07d77bc869a6f7de,84,9217,322804,True,1,4,0.2,1.325583,1.325583,1.325583,0.831266,0.01,0.331611,0.000861,52,5,0.033333,0.066667,0.005556,0.022222,5.999999,3.0,0.01046177,0.0,0.00054253,0.145706,0.0,0.0,0.00043403,0.00010851
0x5cd6af8a828a596baea78c110157df40e380170d,85,29,38,True,1,4,0.2,26.174912,26.174912,26.174912,10.6,3.344,6.543875,0.000588,0,1,0.033333,0.133333,0.005556,0.022222,5.999999,6.0,0.18840572,0.03439153,0.17857143,0.50297619,0.0,0.11153224,0.14285714,0.03571429
